"DOT_category","dot_title_norm","SOC","soc_title_norm"
"570","supervisor clay preparation","51-1011.00","first line supervisors of production and operating workers"
"570","supervisor","53-1042.00","first line supervisors of helpers laborers and material movers hand"
"570","bulk station operator","51-9023.00","mixing and blending machine setters operators and tenders"
"570","mill operator","51-9021.00","crushing grinding and polishing machine setters operators and tenders"
"570","mixer diamond powder","51-9161.00","computer numerically controlled tool operators"
"570","mixer diamond powder","51-9162.00","computer numerically controlled tool programmers"
"570","mixer diamond powder","51-9199.00","production workers all other"
"570","abrasive grader","51-9061.00","inspectors testers sorters samplers and weighers"
"570","abrasive grader helper","53-7063.00","machine feeders and offbearers"
"570","abrasive mixer helper","51-9198.00","helpers production workers"
"571","burner tender","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"571","glaze handler","51-9012.00","separating filtering clarifying precipitating and still machine setters operators and tenders"
"572","furnace combustion analyst","51-9061.00","inspectors testers sorters samplers and weighers"
"572","batch and furnace operator","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"572","cupola charger insulation","53-7063.00","machine feeders and offbearers"
"573","burning supervisor","51-1011.00","first line supervisors of production and operating workers"
"573","dry kiln operator","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"573","kiln drawer","51-9198.00","helpers production workers"
"573","kiln door builder","47-2021.00","brickmasons and blockmasons"
"573","setter","51-9161.00","computer numerically controlled tool operators"
"573","setter","51-9162.00","computer numerically controlled tool programmers"
"573","setter","51-9199.00","production workers all other"
"573","glazing machine operator","51-9124.00","coating painting and spraying machine setters operators and tenders"
"573","brake lining curer","53-7063.00","machine feeders and offbearers"
"573","kiln cleaner","53-7061.00","cleaners of vehicles and equipment"
"573","setter helper","53-7062.00","laborers and freight stock and material movers hand"
"573","sorter","51-9061.00","inspectors testers sorters samplers and weighers"
"574","glaze supervisor","51-1011.00","first line supervisors of production and operating workers"
"574","tile shader","51-9061.00","inspectors testers sorters samplers and weighers"
"574","abrasive coating machine operator","51-9124.00","coating painting and spraying machine setters operators and tenders"
"574","optical glass silverer","51-9123.00","painting coating and decorating workers"
"574","paperhanger","51-9161.00","computer numerically controlled tool operators"
"574","paperhanger","51-9162.00","computer numerically controlled tool programmers"
"574","paperhanger","51-9199.00","production workers all other"
"574","dust box worker","51-9198.00","helpers production workers"
"574","spray machine loader","53-7063.00","machine feeders and offbearers"
"575","press supervisor","51-1011.00","first line supervisors of production and operating workers"
"575","glass bulb machine adjuster","51-9161.00","computer numerically controlled tool operators"
"575","glass bulb machine adjuster","51-9162.00","computer numerically controlled tool programmers"
"575","glass bulb machine adjuster","51-9199.00","production workers all other"
"575","drawing kiln operator","51-9041.00","extruding forming pressing and compacting machine setters operators and tenders"
"575","molder","51-9195.04","glass blowers molders benders and finishers"
"575","concrete stone fabricator","51-9195.00","molders shapers and casters except metal and plastic"
"575","shot coat tender","51-9124.00","coating painting and spraying machine setters operators and tenders"
"575","bucket operator","53-7199.00","material moving workers all other"
"575","crosscutter rolled glass","51-9031.00","cutters and trimmers hand"
